id,name,host_id,host_name,neighbourhood_group,neighbourhood,latitude,longitude,room_type,price,minimum_nights,number_of_reviews,last_review,reviews_per_month,calculated_host_listings_count,availability_365
39116213,Modern Suite Just Steps Away from Blue Line!,37421435,Elm,,West Town,41.893,-87.65956,Entire home/apt,51,3,36,10/14/2020,3.41,1,54
39124077,GOATHOTE | GORGEOUS 4/2.5 GREYSTONE HOME | WRIGLEY,244000490,Goathote,,Uptown,41.95549,-87.65483,Entire home/apt,101,1,42,10/12/2020,3.33,19,351
39124892,River North. Unbeatable views.,27904594,Carson,,Near North Side,41.8963,-87.6314,Entire home/apt,150,3,4,12/30/2019,0.32,1,0
39126219,"Green Room- Well lit, cozy and affordable room",4992585,Eric,,Irving Park,41.95724,-87.70767,Private room,45,4,1,10/21/2019,0.08,2,90
39127447,LAKEVIEW APARTMENT NEXT TO WHOLE FOODS by Train,3965428,Rob,,Lake View,41.93957,-87.66544,Entire home/apt,100,31,2,10/3/2020,0.41,74,328
39127790,BIG APARTMENT NEXT TO WHOLE FOODS 8min TRAIN,3965428,Rob,,Lake View,41.93854,-87.66457,Entire home/apt,75,31,2,7/14/2020,0.34,74,358
39129044,Sonder *Monthly Discounts* 3BR at Greektown Suites,12243051,Sonder,,Near West Side,41.87675,-87.64827,Entire home/apt,181,3,18,9/26/2020,1.51,50,100
39131257,LOOP RANDOLPH TOWER 1 BED GYM POOL  (20),9400379,ExecuSuite Inc.,,Loop,41.88488,-87.63337,Entire home/apt,70,31,1,12/19/2019,0.1,14,64
39131390,LOOP RANDOLPH TOWER ONE BED GYM POOL (32),9400379,ExecuSuite Inc.,,Loop,41.88488,-87.63337,Entire home/apt,70,31,2,3/20/2020,0.22,14,66
39131624,LOOP RANDOLPH TOWER JR ONE BED POOL GYM (28),9400379,ExecuSuite Inc.,,Loop,41.88488,-87.63337,Entire home/apt,60,31,1,1/6/2020,0.1,14,37
39131735,LOOP RANDOLPH TOWER JR ONE BED GYM POOL (10),9400379,ExecuSuite Inc.,,Loop,41.88488,-87.63337,Entire home/apt,70,31,2,8/9/2020,0.27,14,58
39133350,1 mile from the Midway Airport (5min ride),134023138,Cynthia,,Garfield Ridge,41.79724,-87.76715,Entire home/apt,102,1,27,10/18/2020,2.26,2,351
39134724,Perfect Staycation location |Transportation Close!,3403886,Michelle,,Avondale,41.93618,-87.71321,Entire home/apt,59,2,13,5/26/2020,1.1,1,0
39136106,Zen Gem in Chicago's Lincoln Square (Entire Apt),46340840,Emily,,Lincoln Square,41.97092,-87.67778,Entire home/apt,120,3,1,12/30/2019,0.1,2,0
39154634,Luxury BR w/private bath 4mins to Univ & Hospital,11910936,Karen,,Woodlawn,41.78432,-87.60649,Private room,39,7,2,3/31/2020,0.27,12,358
39174531,Wyndham Studio/ 2020 All-Star Basketball Weekend,300549456,Nandi,,Loop,41.88624,-87.62421,Private room,400,3,0,,,1,0
39175226,Private Spacious Apartment,300557908,June,,East Garfield Park,41.88271,-87.69827,Entire home/apt,79,2,20,3/31/2020,1.6,1,351
39180783,"5-Need a room? Spacious, near trains, great price!",26415921,Warren,,Albany Park,41.97035,-87.71728,Private room,23,1,23,3/15/2020,1.85,5,265
39192890,"Mod South Loop 1BR w/ Gym, Pool, W/D, near Michigan Avenue, by Blueground",107434423,Blueground,,Loop,41.87149,-87.62472,Entire home/apt,140,30,0,,,212,0
39196557,A4. Next to Downtown,145551824,Aaron Emisael,,Bridgeport,41.84705,-87.64353,Private room,399,1,0,,,1,179
39203774,7 STAR THE MALIA OASIS #2 3BR/1.5ba + Office Space,257793960,Bob,,Douglas,41.82683,-87.62185,Entire home/apt,48,7,15,10/1/2020,1.65,3,288
39205543,Top Floor of Pilsen Duplex,87317022,Jacob,,Lower West Side,41.85822,-87.65861,Entire home/apt,73,2,5,10/10/2020,1.53,1,352
39216108,Modern Pilsen Apartment located near Downtown,300921150,Gogo,,Lower West Side,41.85046,-87.68086,Entire home/apt,70,1,36,3/16/2020,2.97,1,0
39220531,Sofa Bed in the Playroom!,300957813,Aviva,,Hyde Park,41.79582,-87.58524,Private room,800,32,0,,,1,83
39222987,♔ Royal Stay in a Full Studio Close to the Loop ♔,296382611,Leonard,,Loop,41.88487,-87.62413,Entire home/apt,400,2,0,,,1,21
39226339,4B|2.5B Chicago Townhome,18670260,Ken,,Lake View,41.93855,-87.67286,Entire home/apt,416,2,3,12/8/2019,0.26,1,0
39227130,Wicker Park 3 Bedroom,43279627,Alexander,,West Town,41.90411,-87.67873,Private room,49,30,0,,,1,179
39230529,Cozy Suite 310,265059752,J And F Apartments,,Calumet Heights,41.73261,-87.58379,Entire home/apt,70,3,3,9/7/2020,0.3,3,178
